id,character,dialog,next_event_id,next_event,name,chapter
22,LIRIA,"""I must congratulate you, for many are unable to achieve such a feat.""",23,CONVERSATION,EXT. FUENTE - DÍA 16,EXT. FUENTE - DÍA
23,LIRIA,Though it's obvious that without the help of the great Liria you wouldn't have been able to do it.,38,CONVERSATION,EXT. FUENTE - DÍA 17,EXT. FUENTE - DÍA
24,JUGADOR,Who are you?,25,CONVERSATION,EXT. FUENTE - DÍA 18,EXT. FUENTE - DÍA
25,LIRIA,So impatient... I help you Awaken and the first thing you do is interrogate me?,26,CONVERSATION,EXT. FUENTE - DÍA 19,EXT. FUENTE - DÍA
26,LIRIA,Ugh... Who have I helped?,27,CONVERSATION,EXT. FUENTE - DÍA 20,EXT. FUENTE - DÍA
27,LIRIA,"I'm Liria, a guiding spirit.",28,CONVERSATION,EXT. FUENTE - DÍA 21,EXT. FUENTE - DÍA
28,LIRIA,My mission is to guide here the souls of those who renounce their shells and shackles.,29,CONVERSATION,EXT. FUENTE - DÍA 22,EXT. FUENTE - DÍA
29,LIRIA,"Without me, those souls would scatter through limbo and never find their way to this place.",30,CONVERSATION,EXT. FUENTE - DÍA 23,EXT. FUENTE - DÍA
30,LIRIA,Though sometimes it's hard to get their attention... And you didn't make it easy.,31,CONVERSATION,EXT. FUENTE - DÍA 24,EXT. FUENTE - DÍA
31,LIRIA,You were lucky to come across such a good guide.,38,CONVERSATION,EXT. FUENTE - DÍA 25,EXT. FUENTE - DÍA
32,JUGADOR,Where am I?,33,CONVERSATION,EXT. FUENTE - DÍA 26,EXT. FUENTE - DÍA
33,LIRIA,"You're at the Source, the place where souls like yours are reborn from their ashes. The origin of all creation.",34,CONVERSATION,EXT. FUENTE - DÍA 27,EXT. FUENTE - DÍA
34,LIRIA,Beneath our feet lies a well of infinite souls that wander without direction.,35,CONVERSATION,EXT. FUENTE - DÍA 28,EXT. FUENTE - DÍA
35,LIRIA,"Empty shells, just like you once were.",36,CONVERSATION,EXT. FUENTE - DÍA 29,EXT. FUENTE - DÍA
36,LIRIA,"Luckily, you had the courage to renounce your armor and free your soul.",37,CONVERSATION,EXT. FUENTE - DÍA 30,EXT. FUENTE - DÍA
37,LIRIA,"And the luck of meeting the great Liria, of course.",38,CONVERSATION,EXT. FUENTE - DÍA 31,EXT. FUENTE - DÍA
38,LIRIA,"Anyway, I know you probably have many questions, but right now we need to move.",39,CONVERSATION,EXT. FUENTE - DÍA 32,EXT. FUENTE - DÍA
39,LIRIA,"Just as we managed to bring your soul back here, other spirits and creatures could do the same.",40,CONVERSATION,EXT. FUENTE - DÍA 33,EXT. FUENTE - DÍA
40,LIRIA,Let's head into that forest and find somewhere to rest before night falls.,41,CONVERSATION,EXT. FUENTE - DÍA 34,EXT. FUENTE - DÍA
41,LIRIA,"After that, we'll have time to catch up.",42,CONVERSATION,EXT. FUENTE - DÍA 35,EXT. FUENTE - DÍA
42,LIRIA,"Wow, you look awful...",43,CONVERSATION,EXT. FUENTE - DÍA 36,EXT. FUENTE - DÍA
43,LIRIA,But we can't stay here.,44,CONVERSATION,EXT. FUENTE - DÍA 37,EXT. FUENTE - DÍA
44,LIRIA,"Come on, let's go to the forest. This time I'll lend you my life energy.",45,CONVERSATION,EXT. FUENTE - DÍA 38,EXT. FUENTE - DÍA
45,LIRIA,"But don't get used to it, okay?",,END,EXT. FUENTE - DÍA 39,EXT. FUENTE - DÍA
46,LIRIA,"Alright, looks like we're safe here.",47,CONVERSATION,EXT. BOSQUE - ANOCHECER 1,EXT. BOSQUE - ANOCHECER
47,LIRIA,"And you're getting some color back, too.",48,CONVERSATION,EXT. BOSQUE - ANOCHECER 2,EXT. BOSQUE - ANOCHECER
48,LIRIA,Let's see...,49,CONVERSATION,EXT. BOSQUE - ANOCHECER 3,EXT. BOSQUE - ANOCHECER
49,LIRIA,So your name is NAME...,50,CONVERSATION,EXT. BOSQUE - ANOCHECER 4,EXT. BOSQUE - ANOCHECER
50,LIRIA,"I don't think we can stay around here much longer, but at least we can catch our breath.",51,CONVERSATION,EXT. BOSQUE - ANOCHECER 5,EXT. BOSQUE - ANOCHECER
51,LIRIA,May I ask how you're feeling?,52,CONVERSATION,EXT. BOSQUE - ANOCHECER 6,EXT. BOSQUE - ANOCHECER
52,JUGADOR,"I'm fine, thanks.",53,CONVERSATION,EXT. BOSQUE - ANOCHECER 7,EXT. BOSQUE - ANOCHECER
53,LIRIA,I see. I'm glad I didn't rescue some lazybones.,54,CONVERSATION,EXT. BOSQUE - ANOCHECER 8,EXT. BOSQUE - ANOCHECER
54,LIRIA,I've got quite the eye... Anyway...,64,CONVERSATION,EXT. BOSQUE - ANOCHECER 9,EXT. BOSQUE - ANOCHECER
55,JUGADOR,"I've been better, I won't lie to you.",56,CONVERSATION,EXT. BOSQUE - ANOCHECER 10,EXT. BOSQUE - ANOCHECER
56,LIRIA,"Oh! Please, accept my apologies for such haste.",57,CONVERSATION,EXT. BOSQUE - ANOCHECER 11,EXT. BOSQUE - ANOCHECER
57,LIRIA,Sometimes I forget how soft you humans are...,58,CONVERSATION,EXT. BOSQUE - ANOCHECER 12,EXT. BOSQUE - ANOCHECER
58,LIRIA,I mean... that I need to be more considerate!,59,CONVERSATION,EXT. BOSQUE - ANOCHECER 13,EXT. BOSQUE - ANOCHECER
59,LIRIA,"Yes, that, that... Anyway...",64,CONVERSATION,EXT. BOSQUE - ANOCHECER 14,EXT. BOSQUE - ANOCHECER
60,JUGADOR,I think all this movement makes me nauseous...,61,CONVERSATION,EXT. BOSQUE - ANOCHECER 15,EXT. BOSQUE - ANOCHECER
61,LIRIA,Ugh! You didn't have to give me that many details!,62,CONVERSATION,EXT. BOSQUE - ANOCHECER 16,EXT. BOSQUE - ANOCHECER
62,LIRIA,"Well, I'm sure a bit of rest will do you good. Sit down and take a deep breath, we're not in a rush.",63,CONVERSATION,EXT. BOSQUE - ANOCHECER 17,EXT. BOSQUE - ANOCHECER
63,LIRIA,"Well, I'm sure a bit of rest will do you wonders.",64,CONVERSATION,EXT. BOSQUE - ANOCHECER 18,EXT. BOSQUE - ANOCHECER
64,LIRIA,Do you have any questions I can answer?,65,CONVERSATION,EXT. BOSQUE - ANOCHECER 19,EXT. BOSQUE - ANOCHECER
65,JUGADOR,What is this world?,66,CONVERSATION,EXT. BOSQUE - ANOCHECER 20,EXT. BOSQUE - ANOCHECER
66,LIRIA,"Well... I don't think that question has a trivial answer, exactly.",67,CONVERSATION,EXT. BOSQUE - ANOCHECER 21,EXT. BOSQUE - ANOCHECER
67,LIRIA,But I'll do what I can not to ramble too much!,68,CONVERSATION,EXT. BOSQUE - ANOCHECER 22,EXT. BOSQUE - ANOCHECER
68,LIRIA,"You're in the Realms of Being, a harmonious land created by the Divinity so that we may heal and grow.",69,CONVERSATION,EXT. BOSQUE - ANOCHECER 23,EXT. BOSQUE - ANOCHECER
69,LIRIA,"A land designed for joy, discipline, and care—both within and beyond oneself...",70,CONVERSATION,EXT. BOSQUE - ANOCHECER 24,EXT. BOSQUE - ANOCHECER
70,LIRIA,...But which ended up being corrupted and fragmented by...,71,CONVERSATION,EXT. BOSQUE - ANOCHECER 25,EXT. BOSQUE - ANOCHECER
71,JUGADOR,How did I get to this world?,72,CONVERSATION,EXT. BOSQUE - ANOCHECER 26,EXT. BOSQUE - ANOCHECER
72,LIRIA,"Well, truthfully you've always been part of it.",73,CONVERSATION,EXT. BOSQUE - ANOCHECER 27,EXT. BOSQUE - ANOCHECER
73,LIRIA,"Until a few moments ago, you were a soul; a shell.",74,CONVERSATION,EXT. BOSQUE - ANOCHECER 28,EXT. BOSQUE - ANOCHECER
74,LIRIA,"Like all those who wander the depths, beneath this very ground.",75,CONVERSATION,EXT. BOSQUE - ANOCHECER 29,EXT. BOSQUE - ANOCHECER
75,LIRIA,"However, you received the call. You followed it, and now you're part of the earthly plane of the Realms of Being.",76,CONVERSATION,EXT. BOSQUE - ANOCHECER 30,EXT. BOSQUE - ANOCHECER
76,LIRIA,You were always here—just on a different plane.,77,CONVERSATION,EXT. BOSQUE - ANOCHECER 31,EXT. BOSQUE - ANOCHECER
77,JUGADOR,Are there others like me?,78,CONVERSATION,EXT. BOSQUE - ANOCHECER 32,EXT. BOSQUE - ANOCHECER
78,LIRIA,"Yes, definitely. You're not the first spirit to break its chains.",79,CONVERSATION,EXT. BOSQUE - ANOCHECER 33,EXT. BOSQUE - ANOCHECER
79,LIRIA,Many before you did it for eons...,80,CONVERSATION,EXT. BOSQUE - ANOCHECER 34,EXT. BOSQUE - ANOCHECER
80,LIRIA,"And thanks to the paths they built with their effort, today we can travel peacefully through the Realms of Being.",81,CONVERSATION,EXT. BOSQUE - ANOCHECER 35,EXT. BOSQUE - ANOCHECER
81,LIRIA,"Or, well, at least we could if those wicked creatu—",82,CONVERSATION,EXT. BOSQUE - ANOCHECER 36,EXT. BOSQUE - ANOCHECER
82,LIRIA,Huh?,83,CONVERSATION,EXT. BOSQUE - ANOCHECER 37,EXT. BOSQUE - ANOCHECER
83,LIRIA,Wait...,84,CONVERSATION,EXT. BOSQUE - ANOCHECER 38,EXT. BOSQUE - ANOCHECER
84,LIRIA,Do you hear that too?,85,CONVERSATION,EXT. BOSQUE - ANOCHECER 39,EXT. BOSQUE - ANOCHECER
85,LIRIA,NAME! We're being ambushed!,86,CONVERSATION,EXT. BOSQUE - ANOCHECER 40,EXT. BOSQUE - ANOCHECER
86,LIRIA,"Alright, let's stay calm... They caught us by surprise, but it's only a raven.",87,CONVERSATION,EXT. BOSQUE - ANOCHECER 41,EXT. BOSQUE - ANOCHECER
87,LIRIA,"I've seen them before, and I've studied their modus operandi...",88,CONVERSATION,EXT. BOSQUE - ANOCHECER 42,EXT. BOSQUE - ANOCHECER
88,LIRIA,"I'm sure we can do this, NAME!",89,CONVERSATION,EXT. BOSQUE - ANOCHECER 43,EXT. BOSQUE - ANOCHECER
89,LIRIA,Do you know how to fight?,90,CONVERSATION,EXT. BOSQUE - ANOCHECER 44,EXT. BOSQUE - ANOCHECER
90,JUGADOR,"Give me a hand, please!",91,CONVERSATION,EXT. BOSQUE - ANOCHECER 45,EXT. BOSQUE - ANOCHECER
91,LIRIA,"Alright, fine... Take a deep breath and focus. Let's go!",92,CONVERSATION,EXT. BOSQUE - ANOCHECER 46,EXT. BOSQUE - ANOCHECER
92,LIRIA,There are countless monsters roaming the Realms of Being.,93,CONVERSATION,EXT. BOSQUE - ANOCHECER 47,EXT. BOSQUE - ANOCHECER
93,LIRIA,"Each one has a Type: its main element. It reflects its strengths, but also its weaknesses. Keep your eyes open!",94,CONVERSATION,EXT. BOSQUE - ANOCHECER 48,EXT. BOSQUE - ANOCHECER
94,LIRIA,"Also, they all have a maximum health and a time limit to be defeated.",95,CONVERSATION,EXT. BOSQUE - ANOCHECER 49,EXT. BOSQUE - ANOCHECER
95,LIRIA,"Your goal is to reduce its health to zero before the time limit runs out, to keep it from fleeing and continuing to wreak havoc.",96,CONVERSATION,EXT. BOSQUE - ANOCHECER 50,EXT. BOSQUE - ANOCHECER
96,LIRIA,"Fortunately, the Divinity has granted you different skills to face them.",97,CONVERSATION,EXT. BOSQUE - ANOCHECER 51,EXT. BOSQUE - ANOCHECER
97,LIRIA,"Use them by tapping on them, and press and hold to see their effects.",98,CONVERSATION,EXT. BOSQUE - ANOCHECER 52,EXT. BOSQUE - ANOCHECER
98,LIRIA,But don't use them recklessly! You won't be able to use them again until they've recovered.,99,CONVERSATION,EXT. BOSQUE - ANOCHECER 53,EXT. BOSQUE - ANOCHECER
99,LIRIA,Each one has its own recovery time and conditions. So play smart!,100,CONVERSATION,EXT. BOSQUE - ANOCHECER 54,EXT. BOSQUE - ANOCHECER
100,LIRIA,"Oof, I think this raven is about to attack us any moment... Why don't we make sure we land the first hit?",101,CONVERSATION,EXT. BOSQUE - ANOCHECER 55,EXT. BOSQUE - ANOCHECER
101,JUGADOR,I think I've got it under control.,102,CONVERSATION,EXT. BOSQUE - ANOCHECER 56,EXT. BOSQUE - ANOCHECER
102,LIRIA,"Oh, alright! I'm counting on you, NAME!",105,CONVERSATION,EXT. BOSQUE - ANOCHECER 57,EXT. BOSQUE - ANOCHECER
103,LIRIA,"Oh no! Are you alright, NAME?",104,CONVERSATION,EXT. BOSQUE - ANOCHECER 58,EXT. BOSQUE - ANOCHECER
104,LIRIA,"Come on, one last push! You've almost got it!",105,CONVERSATION,EXT. BOSQUE - ANOCHECER 59,EXT. BOSQUE - ANOCHECER
105,LIRIA,We did it! I knew we could.,106,CONVERSATION,EXT. BOSQUE - ANOCHECER 60,EXT. BOSQUE - ANOCHECER
106,LIRIA,It's true it was only a raven...,107,CONVERSATION,EXT. BOSQUE - ANOCHECER 61,EXT. BOSQUE - ANOCHECER
107,LIRIA,"Though, well, I don't know if I should call them that.",108,CONVERSATION,EXT. BOSQUE - ANOCHECER 62,EXT. BOSQUE - ANOCHECER
108,LIRIA,"After all, they don't look much like ordinary ravens.",109,CONVERSATION,EXT. BOSQUE - ANOCHECER 63,EXT. BOSQUE - ANOCHECER
109,LIRIA,It's as if they were under some kind of influence...,110,CONVERSATION,EXT. BOSQUE - ANOCHECER 64,EXT. BOSQUE - ANOCHECER
110,LIRIA,"Either way, it was good we didn't underestimate it. We're still weak.",111,CONVERSATION,EXT. BOSQUE - ANOCHECER 65,EXT. BOSQUE - ANOCHECER
111,LIRIA,I know a nearby city that might take us in.,112,CONVERSATION,EXT. BOSQUE - ANOCHECER 66,EXT. BOSQUE - ANOCHECER
112,LIRIA,I'm sure they can give us shelter and protect us from ambushes...,113,CONVERSATION,EXT. BOSQUE - ANOCHECER 67,EXT. BOSQUE - ANOCHECER
113,LIRIA,Though I don't know a completely safe route to get there.,114,CONVERSATION,EXT. BOSQUE - ANOCHECER 68,EXT. BOSQUE - ANOCHECER
114,LIRIA,Do you feel like resting a bit and recharging your energy? Or would you rather keep going to the city?,115,CONVERSATION,EXT. BOSQUE - ANOCHECER 69,EXT. BOSQUE - ANOCHECER
115,JUGADOR,Let's rest here. I need a breather.,116,CONVERSATION,EXT. BOSQUE - ANOCHECER 70,EXT. BOSQUE - ANOCHECER
116,LIRIA,"I understand, that's fine. No need to push ourselves.",117,CONVERSATION,EXT. BOSQUE - ANOCHECER 71,EXT. BOSQUE - ANOCHECER
117,LIRIA,"I'll stay on watch for a while, alright?",118,CONVERSATION,EXT. BOSQUE - ANOCHECER 72,EXT. BOSQUE - ANOCHECER
118,LIRIA,"“Rest, then, in serenity, while your servant keeps watch.”",119,CONVERSATION,EXT. BOSQUE - ANOCHECER 73,EXT. BOSQUE - ANOCHECER
119,LIRIA,I'll let you know at once if anything happens.,120,CONVERSATION,EXT. BOSQUE - ANOCHECER 74,EXT. BOSQUE - ANOCHECER
120,LIRIA,Rest!,,END,EXT. BOSQUE - ANOCHECER 75,EXT. BOSQUE - ANOCHECER
121,JUGADOR,I've still got strength left. Let's head to the city.,122,CONVERSATION,EXT. BOSQUE - ANOCHECER 76,EXT. BOSQUE - ANOCHECER
122,LIRIA,Such determination! Then it's settled.,123,CONVERSATION,EXT. BOSQUE - ANOCHECER 77,EXT. BOSQUE - ANOCHECER
123,LIRIA,"NAME, open the map. Let's set a course for the city!",124,CONVERSATION,EXT. BOSQUE - ANOCHECER 78,EXT. BOSQUE - ANOCHECER
124,LIRIA,"Well, that motivation didn't last long...",125,CONVERSATION,EXT. BOSQUE - ANOCHECER 79,EXT. BOSQUE - ANOCHECER
125,LIRIA,I don't think we're able to keep moving forward for now.,126,CONVERSATION,EXT. BOSQUE - ANOCHECER 80,EXT. BOSQUE - ANOCHECER
126,LIRIA,The road is getting more and more challenging... We have to Progress to be up to the task.,127,CONVERSATION,EXT. BOSQUE - ANOCHECER 81,EXT. BOSQUE - ANOCHECER
127,LIRIA,"Fortunately, I know a tactic to get Progress Points, and keep moving forward.",128,CONVERSATION,EXT. BOSQUE - ANOCHECER 82,EXT. BOSQUE - ANOCHECER
128,LIRIA,"As you've probably noticed, we can Progress by fighting and freeing the Realms of Being from vile creatures.",129,CONVERSATION,EXT. BOSQUE - ANOCHECER 83,EXT. BOSQUE - ANOCHECER
129,LIRIA,But we can also get them quickly by completing Daily Objectives.,130,CONVERSATION,EXT. BOSQUE - ANOCHECER 84,EXT. BOSQUE - ANOCHECER
130,LIRIA,"If you swipe up, you can access a summary of our daily activity...",131,CONVERSATION,EXT. BOSQUE - ANOCHECER 85,EXT. BOSQUE - ANOCHECER
131,LIRIA,"And at the bottom, you can see the Daily Objectives we've set for today.",132,CONVERSATION,EXT. BOSQUE - ANOCHECER 86,EXT. BOSQUE - ANOCHECER
132,LIRIA,"Each time we complete one, we'll earn a Progress Point and be able to continue our journey.",133,CONVERSATION,EXT. BOSQUE - ANOCHECER 87,EXT. BOSQUE - ANOCHECER
133,LIRIA,"If we don't miss a single one, we'll reach the city in the blink of an eye!",134,CONVERSATION,EXT. BOSQUE - ANOCHECER 88,EXT. BOSQUE - ANOCHECER
134,LIRIA,"Let's get to it, NAME!",,END,EXT. BOSQUE - ANOCHECER 89,EXT. BOSQUE - ANOCHECER
135,LIRIA,At last! Our weary wanderings have come to an end.,136,CONVERSATION,EXT. PUERTAS DE LA CIUDAD - ATARDECER 1,EXT. PUERTAS DE LA CIUDAD - ATARDECER
136,LIRIA,We have reached the city gate.,137,CONVERSATION,EXT. PUERTAS DE LA CIUDAD - ATARDECER 2,EXT. PUERTAS DE LA CIUDAD - ATARDECER
137,LIRIA,And we've been very lucky...,138,CONVERSATION,EXT. PUERTAS DE LA CIUDAD - ATARDECER 3,EXT. PUERTAS DE LA CIUDAD - ATARDECER
138,LIRIA,It seems the drawbridge is down.,139,CONVERSATION,EXT. PUERTAS DE LA CIUDAD - ATARDECER 4,EXT. PUERTAS DE LA CIUDAD - ATARDECER
139,LIRIA,We should be able to cross it without any trouble.,140,CONVERSATION,EXT. PUERTAS DE LA CIUDAD - ATARDECER 5,EXT. PUERTAS DE LA CIUDAD - ATARDECER
140,LIRIA,I can't wait to enjoy all the delicacies at the inn... Let's hurry!,,END,EXT. PUERTAS DE LA CIUDAD - ATARDECER 6,EXT. PUERTAS DE LA CIUDAD - ATARDECER
141,LIRIA,Mmm… How strange…,142,CONVERSATION,EXT. PLAZA DE LA CIUDAD - ATARDECER 1,EXT. PLAZA DE LA CIUDAD - ATARDECER
142,LIRIA,"I don't see any merchants, and there's no one in the square…",143,CONVERSATION,EXT. PLAZA DE LA CIUDAD - ATARDECER 2,EXT. PLAZA DE LA CIUDAD - ATARDECER
143,LIRIA,The road is getting more and more challenging… We have to keep Progressing to be up to it.,144,CONVERSATION,EXT. PLAZA DE LA CIUDAD - ATARDECER 3,EXT. PLAZA DE LA CIUDAD - ATARDECER
144,LIRIA,Everything is much quieter than usual.,145,CONVERSATION,EXT. PLAZA DE LA CIUDAD - ATARDECER 4,EXT. PLAZA DE LA CIUDAD - ATARDECER
145,LIRIA,Hello? Can anyone hear me?,146,CONVERSATION,EXT. PLAZA DE LA CIUDAD - ATARDECER 5,EXT. PLAZA DE LA CIUDAD - ATARDECER
146,LIRIA,Nothing…,147,CONVERSATION,EXT. PLAZA DE LA CIUDAD - ATARDECER 6,EXT. PLAZA DE LA CIUDAD - ATARDECER
147,LIRIA,"This is very suspicious, NAME…",148,CONVERSATION,EXT. PLAZA DE LA CIUDAD - ATARDECER 7,EXT. PLAZA DE LA CIUDAD - ATARDECER
148,LIRIA,We'd better find out what's going on.,,END,EXT. PLAZA DE LA CIUDAD - ATARDECER 8,EXT. PLAZA DE LA CIUDAD - ATARDECER
149,LIRIA,Uh... They left the door wide open...,150,CONVERSATION,INT. POSADA - ATARDECER 1,INT. POSADA - ATARDECER
150,LIRIA,...Which is very strange for a refuge like this.,151,CONVERSATION,INT. POSADA - ATARDECER 2,INT. POSADA - ATARDECER
151,LIRIA,Can you hear me? Is anyone there?,152,CONVERSATION,INT. POSADA - ATARDECER 3,INT. POSADA - ATARDECER
152,LIRIA,This is empty too... Just our luck.,153,CONVERSATION,INT. POSADA - ATARDECER 4,INT. POSADA - ATARDECER
153,LIRIA,I'm starting to get seriously worried.,154,CONVERSATION,INT. POSADA - ATARDECER 5,INT. POSADA - ATARDECER
154,LIRIA,Where on earth is everyone?,155,CONVERSATION,INT. POSADA - ATARDECER 6,INT. POSADA - ATARDECER
155,LIRIA,"Anyway, since we're here, we could look for something useful.",156,CONVERSATION,INT. POSADA - ATARDECER 7,INT. POSADA - ATARDECER
156,LIRIA,How does that sound?,157,CONVERSATION,INT. POSADA - ATARDECER 8,INT. POSADA - ATARDECER
157,JUGADOR,Let's search the rooms.,158,CONVERSATION,INT. POSADA - ATARDECER 9,INT. POSADA - ATARDECER
158,LIRIA,Mmm... All right.,159,CONVERSATION,INT. POSADA - ATARDECER 10,INT. POSADA - ATARDECER
159,LIRIA,Let's take a quick look and see what we find.,160,CONVERSATION,INT. POSADA - ATARDECER 11,INT. POSADA - ATARDECER
160,LIRIA,"Look, NAME! I think I've found some interesting information.",,END,INT. POSADA - ATARDECER 12,INT. POSADA - ATARDECER
161,JUGADOR,Let's loot the chests.,162,CONVERSATION,INT. POSADA - ATARDECER 13,INT. POSADA - ATARDECER
162,LIRIA,Ugh... How 'pragmatic'.,163,CONVERSATION,INT. POSADA - ATARDECER 14,INT. POSADA - ATARDECER
163,LIRIA,I see you don't miss even the tiniest chance to fill your pockets.,164,CONVERSATION,INT. POSADA - ATARDECER 15,INT. POSADA - ATARDECER
164,LIRIA,We have no reason to think this inn is completely abandoned...,165,CONVERSATION,INT. POSADA - ATARDECER 16,INT. POSADA - ATARDECER
165,LIRIA,"But if we're going to do it, I hope we're able to put it to good use afterward.",166,CONVERSATION,INT. POSADA - ATARDECER 17,INT. POSADA - ATARDECER
166,LIRIA,"Come on, then. Just do it quickly, at least.",,END,INT. POSADA - ATARDECER 18,INT. POSADA - ATARDECER
167,JUGADOR,Let's leave everything as it is.,168,CONVERSATION,INT. POSADA - ATARDECER 19,INT. POSADA - ATARDECER
168,LIRIA,"Mmm... Okay, I also think that's the smartest thing.",169,CONVERSATION,INT. POSADA - ATARDECER 20,INT. POSADA - ATARDECER
169,LIRIA,We don't know how long this inn has been abandoned...,170,CONVERSATION,INT. POSADA - ATARDECER 21,INT. POSADA - ATARDECER
170,LIRIA,But it's likely many still intend to come back for their belongings...,171,CONVERSATION,INT. POSADA - ATARDECER 22,INT. POSADA - ATARDECER
171,LIRIA,Especially if they have something of value.,172,CONVERSATION,INT. POSADA - ATARDECER 23,INT. POSADA - ATARDECER
172,LIRIA,Let's get out of here and protect the city so no bandit can loot it.,,END,INT. POSADA - ATARDECER 24,INT. POSADA - ATARDECER
173,LIRIA,Great... Another blockage.,174,CONVERSATION,INT. IGLESIA - ATARDECER 1,INT. IGLESIA - ATARDECER
174,LIRIA,"The church is closed, and it doesn't seem to have any other entrances.",175,CONVERSATION,INT. IGLESIA - ATARDECER 2,INT. IGLESIA - ATARDECER
175,LIRIA,Though the door does seem to have recent marks...,176,CONVERSATION,INT. IGLESIA - ATARDECER 3,INT. IGLESIA - ATARDECER
176,LIRIA,"Whoa! Look at the ground, NAME!",177,CONVERSATION,INT. IGLESIA - ATARDECER 4,INT. IGLESIA - ATARDECER
177,LIRIA,There's no doubt some tragedy happened here...,178,CONVERSATION,INT. IGLESIA - ATARDECER 5,INT. IGLESIA - ATARDECER
178,LIRIA,"We have to try to get inside, somehow.",179,CONVERSATION,INT. IGLESIA - ATARDECER 6,INT. IGLESIA - ATARDECER
179,JUGADOR,Let's knock on the door.,180,CONVERSATION,INT. IGLESIA - ATARDECER 7,INT. IGLESIA - ATARDECER
180,LIRIA,I suppose that's the most civilized option.,181,CONVERSATION,INT. IGLESIA - ATARDECER 8,INT. IGLESIA - ATARDECER
181,LIRIA,...Though I'll admit I don't blindly trust that it'll work.,182,CONVERSATION,INT. IGLESIA - ATARDECER 9,INT. IGLESIA - ATARDECER
182,LIRIA,"Come on, knock!",183,CONVERSATION,INT. IGLESIA - ATARDECER 10,INT. IGLESIA - ATARDECER
183,LIRIA,Well... It was worth a try.,,END,INT. IGLESIA - ATARDECER 11,INT. IGLESIA - ATARDECER
184,JUGADOR,Let's knock the door down.,185,CONVERSATION,INT. IGLESIA - ATARDECER 12,INT. IGLESIA - ATARDECER
185,LIRIA,Mmm... It doesn't look like a very sturdy door.,186,CONVERSATION,INT. IGLESIA - ATARDECER 13,INT. IGLESIA - ATARDECER
